"","subid","targ_cand"
"1",11,1
"2",21,1
"3",23,1
"4",30,1
"5",31,1
"6",42,1
"7",46,1
"8",56,1
"9",62,1
"10",64,1
"11",74,1
"12",81,1
"13",89,1
"14",90,1
"15",94,1
"16",98,1
"17",114,1
"18",115,1
"19",124,1
"20",130,1
"21",135,1
"22",140,1
"23",156,1
"24",166,1
"25",167,1
"26",173,1
"27",185,1
"28",192,1
"29",209,1
"30",218,1
"31",225,1
"32",235,1
"33",249,1
"34",263,1
"35",266,1
"36",274,1
"37",284,1
"38",289,1
"39",298,1
"40",311,1
"41",318,1
"42",320,1
"43",328,1
"44",337,1
"45",338,1
"46",347,1
"47",352,1
"48",369,1
"49",371,1
"50",390,1
"51",396,1
"52",399,1
"53",401,1
"54",412,1
"55",420,1
"56",430,1
"57",431,1
"58",433,1
"59",437,1
"60",456,1
"61",458,1
"62",465,1
"63",471,1
"64",474,1
"65",489,1
"66",490,1
"67",503,1
"68",509,1
"69",511,1
"70",520,1
"71",527,1
"72",537,1
"73",542,1
"74",551,1
"75",554,1
"76",559,1
"77",564,1
"78",583,1
"79",586,1
"80",594,1
"81",600,1
"82",603,1
"83",612,1
"84",642,1
"85",645,1
"86",650,1
"87",658,1
"88",663,1
"89",676,1
"90",679,1
"91",683,1
"92",690,1
"93",693,1
"94",697,1
"95",703,1
"96",704,1
"97",709,1
"98",714,1
"99",720,1
"100",726,1
"101",733,1
"102",734,1
"103",743,1
"104",750,1
"105",751,1
"106",763,1
"107",770,1
"108",780,1
"109",788,1
"110",792,1
"111",797,1
"112",805,1
"113",382,1
"114",6,1
"115",10,1
"116",20,1
"117",32,1
"118",34,1
"119",38,1
"120",50,1
"121",52,1
"122",53,1
"123",57,1
"124",61,1
"125",73,1
"126",75,1
"127",83,1
"128",91,1
"129",95,1
"130",105,1
"131",112,1
"132",113,1
"133",121,1
"134",132,1
"135",139,1
"136",146,1
"137",157,1
"138",161,1
"139",171,1
"140",177,1
"141",184,1
"142",188,1
"143",190,1
"144",199,1
"145",202,1
"146",210,1
"147",222,1
"148",226,1
"149",246,1
"150",257,1
"151",265,1
"152",270,1
"153",279,1
"154",287,1
"155",288,1
"156",295,1
"157",306,1
"158",308,1
"159",317,1
"160",323,1
"161",332,1
"162",335,1
"163",341,1
"164",346,1
"165",355,1
"166",360,1
"167",361,1
"168",378,1
"169",381,1
"170",392,1
"171",394,1
"172",402,1
"173",406,1
"174",410,1
"175",414,1
"176",426,1
"177",436,1
"178",440,1
"179",446,1
"180",447,1
"181",452,1
"182",461,1
"183",467,1
"184",485,1
"185",486,1
"186",495,1
"187",502,1
"188",506,1
"189",510,1
"190",516,1
"191",521,1
"192",526,1
"193",528,1
"194",533,1
"195",544,1
"196",545,1
"197",549,1
"198",555,1
"199",562,1
"200",567,1
"201",572,1
"202",576,1
"203",585,1
"204",592,1
"205",596,1
"206",606,1
"207",611,1
"208",626,1
"209",631,1
"210",635,1
"211",648,1
"212",654,1
"213",665,1
"214",671,1
"215",680,1
"216",686,1
"217",692,1
"218",695,1
"219",696,1
"220",705,1
"221",708,1
"222",716,1
"223",723,1
"224",724,1
"225",731,1
"226",738,1
"227",741,1
"228",748,1
"229",755,1
"230",760,1
"231",777,1
"232",782,1
"233",784,1
"234",793,1
"235",800,1
"236",801,1
"237",8,2
"238",16,2
"239",17,2
"240",26,2
"241",41,2
"242",45,2
"243",48,2
"244",55,2
"245",58,2
"246",59,2
"247",65,2
"248",79,2
"249",80,2
"250",85,2
"251",93,2
"252",97,2
"253",111,2
"254",118,2
"255",131,2
"256",136,2
"257",148,2
"258",154,2
"259",168,2
"260",170,2
"261",179,2
"262",183,2
"263",186,2
"264",191,2
"265",197,2
"266",203,2
"267",208,2
"268",220,2
"269",231,2
"270",250,2
"271",254,2
"272",273,2
"273",276,2
"274",286,2
"275",292,2
"276",304,2
"277",310,2
"278",315,2
"279",322,2
"280",331,2
"281",336,2
"282",340,2
"283",344,2
"284",357,2
"285",362,2
"286",368,2
"287",376,2
"288",389,2
"289",397,2
"290",415,2
"291",424,2
"292",425,2
"293",435,2
"294",438,2
"295",448,2
"296",450,2
"297",455,2
"298",463,2
"299",469,2
"300",482,2
"301",484,2
"302",507,2
"303",517,2
"304",518,2
"305",523,2
"306",531,2
"307",536,2
"308",548,2
"309",553,2
"310",557,2
"311",558,2
"312",565,2
"313",579,2
"314",593,2
"315",598,2
"316",604,2
"317",605,2
"318",621,2
"319",623,2
"320",628,2
"321",636,2
"322",644,2
"323",653,2
"324",655,2
"325",657,2
"326",664,2
"327",673,2
"328",681,2
"329",687,2
"330",689,2
"331",698,2
"332",700,2
"333",706,2
"334",717,2
"335",725,2
"336",728,2
"337",736,2
"338",737,2
"339",742,2
"340",754,2
"341",781,2
"342",789,2
"343",791,2
"344",804,2
"345",808,2
"346",1,2
"347",9,2
"348",15,2
"349",19,2
"350",36,2
"351",43,2
"352",47,2
"353",49,2
"354",60,2
"355",66,2
"356",69,2
"357",72,2
"358",82,2
"359",88,2
"360",102,2
"361",110,2
"362",123,2
"363",128,2
"364",133,2
"365",145,2
"366",151,2
"367",155,2
"368",160,2
"369",165,2
